,Address,"Town, State",Price,Beds,Sqft,Baths
0,2324 W Palouse St,"Vista, Boise, ID","$549,900",5,"2,652",3
1,1735 S Ash Park Ln,"Pioneer, Boise, ID","$399,900",5,"1,652",2
2,468 N Lilly Dr,"Boise, ID","$112,900",4,"1,492",2
3,1912 N 11th St,"North End, Boise, ID","$559,900",3,"1,588",2
4,7238 W Mojave Dr,"Boise, ID","$299,999",3,"1,408",2
5,209 N Owyhee St,"Depot Bench, Boise, ID","$419,900",3,"2,227",2
6,12298 W Murchison St,"Boise, ID","$524,900",5,"3,030",2.5
7,2810 W BRENEMAN ST,"Sunset, Boise, ID","$582,000",3,"2,252",3
8,10618 W Pattie St,"West Valley, Boise, ID","$349,900",3,"1,724",2
9,2633 N Bird St,"West Bench, Boise, ID","$379,900",3,"1,611",2
10,3374 S Canonero Way,"Boise, ID","$560,000",4,"3,458",3.5
11,11035 W Tidewater Ct,"West Valley, Boise, ID","$340,000",3,"1,504",2
12,1203 S Michigan Ave,"Southeast Boise, Boise, ID","$324,000",3,"1,260",1.5
13,12078 W Honey Dew Dr,"Boise, ID","$425,000",4,"2,135",2.5
14,466 N Lilly Dr,"Boise, ID","$110,900",3,"1,492",2
15,1019 N Lander St,"Veterans Park, Boise, ID","$239,900",2,904,1
16,11142 W Goldenspire Dr,"Boise, ID","$399,900",3,"2,086",3
17,421 S Curtis Rd #15,"Borah, Boise, ID","$169,900",2,"1,222",2
18,328 N Coston St,"East End, Boise, ID","$1,100,000",3,"2,800",4
19,4402 N Ute Pl,"West Valley, Boise, ID","$499,900",4,"2,219",2
20,Century Farm,"Meridian, ID","$338,800",4,"2,030",3
21,395 E Sydmor Dr,"Southeast Boise, Boise, ID","$650,000",3,"2,312",3
22,3237 N Rugby Way,"West Bench, Boise, ID","$259,999",2,"1,112",2
23,5270 S Five Mile Rd,"Boise, ID","$699,000",4,"2,709",3
24,9087 W Songwood Dr,"Boise, ID","$359,990",3,"2,028",2.5
25,945 E Warm Springs Ave,"East End, Boise, ID","$1,980,000",5,"6,871",4
26,9334 W Jewell St,"Boise, ID","$279,900",2,"1,040",1
27,2015 W Sunrise Rim Rd,"Sunrise Rim, Boise, ID","$425,000",3,"2,998",2
28,6323 N Talcrest Pl,"Boise, ID",$1,3,"1,600",2
29,2919 W Parke Circle Dr,"Depot Bench, Boise, ID","$639,900",3,"2,004",3
30,2324 W Palouse St,"Vista, Boise, ID","$549,900",5,"2,652",3
31,1735 S Ash Park Ln,"Pioneer, Boise, ID","$399,900",5,"1,652",2
32,468 N Lilly Dr,"Boise, ID","$112,900",4,"1,492",2
33,1912 N 11th St,"North End, Boise, ID","$559,900",3,"1,588",2
34,7238 W Mojave Dr,"Boise, ID","$299,999",3,"1,408",2
35,209 N Owyhee St,"Depot Bench, Boise, ID","$419,900",3,"2,227",2
36,12298 W Murchison St,"Boise, ID","$524,900",5,"3,030",2.5
37,2810 W BRENEMAN ST,"Sunset, Boise, ID","$582,000",3,"2,252",3
38,10618 W Pattie St,"West Valley, Boise, ID","$349,900",3,"1,724",2
39,2633 N Bird St,"West Bench, Boise, ID","$379,900",3,"1,611",2
40,3374 S Canonero Way,"Boise, ID","$560,000",4,"3,458",3.5
41,11035 W Tidewater Ct,"West Valley, Boise, ID","$340,000",3,"1,504",2
42,1203 S Michigan Ave,"Southeast Boise, Boise, ID","$324,000",3,"1,260",1.5
43,12078 W Honey Dew Dr,"Boise, ID","$425,000",4,"2,135",2.5
44,466 N Lilly Dr,"Boise, ID","$110,900",3,"1,492",2
45,1019 N Lander St,"Veterans Park, Boise, ID","$239,900",2,904,1
46,11142 W Goldenspire Dr,"Boise, ID","$399,900",3,"2,086",3
47,421 S Curtis Rd #15,"Borah, Boise, ID","$169,900",2,"1,222",2
48,328 N Coston St,"East End, Boise, ID","$1,100,000",3,"2,800",4
49,4402 N Ute Pl,"West Valley, Boise, ID","$499,900",4,"2,219",2
50,Century Farm,"Meridian, ID","$338,800",4,"2,030",3
51,395 E Sydmor Dr,"Southeast Boise, Boise, ID","$650,000",3,"2,312",3
52,3237 N Rugby Way,"West Bench, Boise, ID","$259,999",2,"1,112",2
53,5270 S Five Mile Rd,"Boise, ID","$699,000",4,"2,709",3
54,9087 W Songwood Dr,"Boise, ID","$359,990",3,"2,028",2.5
55,945 E Warm Springs Ave,"East End, Boise, ID","$1,980,000",5,"6,871",4
