,Address,"Town, State",Price,Beds,Sqft,Baths
0,429 Toni Ln,"Tracy, CA","$449,000",3,"1,337",2
1,3075 Coventry Dr,"Tracy, CA","$519,000",4,"1,700",3
2,670 S Central Pkwy,"Mountain House, Mountain House, CA","$825,000",4,"2,994",3
3,1481 Heatherfield Way,"Tracy, CA","$474,990",3,"1,654",3
4,152 W Santa Clara Dr,"Mountain House, Mountain House, CA","$694,888",4,"2,307",3
5,1940 Hafla Ct,"Tracy, CA","$899,000",6,"4,470",6
6,460 W Schulte Rd,"Tracy, CA","$680,000",5,"3,044",3
7,2929 N Macarthur Dr #152,"Tracy, CA","$169,950",4,"1,440",2
8,386 W 21st St,"Tracy, CA","$395,000",3,998,1
9,1935 Harvest Landing Ct,"Tracy, CA","$599,000",4,"1,772",3
10,30 W Fauna Ct,"Mountain House, Mountain House, CA","$730,000",5,"2,968",4
11,30000 Kasson Rd #2A13,"Tracy, CA","$125,000",2,"1,050",1
12,445 Cecelio Way,"Tracy, CA","$590,000",4,"3,270",3
13,100 Tioga Way,"Tracy, CA","$539,888",4,"1,405",2
14,1023 McKenna Ct,"Tracy, CA","$649,999",4,"3,037",3
15,24866 S Banta Rd,"Tracy, CA","$1,800,000",4,"3,298",5
16,1550 Teakwood Way,"Tracy, CA","$485,000",3,"1,673",3
17,812 Clover Rd #94,"Tracy, CA","$99,950",2,"1,344",2
18,30000 Kasson Rd #1M16,"Tracy, CA","$160,000",2,"1,200",1
19,15613 S Kelso Rd,"Tracy, CA","$949,000",4,"2,403",4
20,Magnolia Park,"Tracy, CA","$549,500",3,"2,078",3
21,1566 Piper Pl,"Tracy, CA","$950,000",4,"2,352",2
22,30000 Kasson Rd #3A3,"Tracy, CA","$110,000",2,946,1
23,19420 W Grant Line Rd,"Tracy, CA","$895,000",4,"1,785",3
24,27210 S Lammers Rd,"Tracy, CA","$1,499,000",3,"3,240",3
25,7681 W Linne Rd,"Tracy, CA","$1,365,000",4,"3,523",3
26,588 W 4th St,"Tracy, CA","$499,999",3,"1,672",3
27,30000 Kasson Rd #250,"Tracy, CA","$165,000",2,874,1
28,Vantage at Tracy Hills,"Tracy, CA","$591,950",4,"2,155",3
29,32568 S Bird Rd,"Tracy, CA","$1,199,950",2,"1,999",2
30,429 Toni Ln,"Tracy, CA","$449,000",3,"1,337",2
31,3075 Coventry Dr,"Tracy, CA","$519,000",4,"1,700",3
32,670 S Central Pkwy,"Mountain House, Mountain House, CA","$825,000",4,"2,994",3
33,1481 Heatherfield Way,"Tracy, CA","$474,990",3,"1,654",3
34,152 W Santa Clara Dr,"Mountain House, Mountain House, CA","$694,888",4,"2,307",3
35,1940 Hafla Ct,"Tracy, CA","$899,000",6,"4,470",6
36,460 W Schulte Rd,"Tracy, CA","$680,000",5,"3,044",3
37,2929 N Macarthur Dr #152,"Tracy, CA","$169,950",4,"1,440",2
38,386 W 21st St,"Tracy, CA","$395,000",3,998,1
39,1935 Harvest Landing Ct,"Tracy, CA","$599,000",4,"1,772",3
40,30 W Fauna Ct,"Mountain House, Mountain House, CA","$730,000",5,"2,968",4
41,30000 Kasson Rd #2A13,"Tracy, CA","$125,000",2,"1,050",1
